target,rows_observed,rows_train,rows_valid,baseline_mae,baseline_rmse,baseline_r2,model_mae,model_rmse,model_r2,mae_gain,rmse_gain
dep,1215.0,1030.0,185.0,12.818207227658968,16.15853936321476,-0.0001990995993925715,6.540740786514404,8.3675679432238,0.7317864261319856,6.277466441144564,7.79097141999096
anx,1237.0,1046.0,191.0,15.07146611951378,17.679280574153125,-0.03129275684451582,6.5432464709008125,8.039711958553694,0.7867280352174438,8.528219648612968,9.639568615599432
ins,820.0,701.0,119.0,18.46227885212634,22.41584332955723,-0.012708543461976252,13.56983818554008,17.151124527494776,0.4071299535150198,4.892440666586259,5.264718802062454
